graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,modularity_regime,mu_t_input,mu_w_input,n,mean_auc,sd_auc,median_auc,min_auc,max_auc,se_auc,ci95_lower_mean,ci95_upper_mean
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,0.075,0.075,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p100,0.1,0.1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p125,0.125,0.125,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p150,0.15,0.15,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p175,0.175,0.175,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p225,0.225,0.225,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p300,0.3,0.3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p075,0.075,0.075,40,0.7221325416004333,0.007302574604739263,0.7222816682681956,0.7056969625047362,0.7465543196382955,0.0011546384267139952,0.7197970649387934,0.7244680182620732
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p100,0.1,0.1,40,0.6953773355750127,0.006707359436981699,0.6960674374176408,0.6756958818340556,0.7063152700470414,0.001060526645314339,0.6932322179590783,0.6975224531909471
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p125,0.125,0.125,40,0.6686053252163626,0.006628432544513909,0.668220112910758,0.656088123425536,0.6802280781690279,0.0010480472078724689,0.6664854496452292,0.6707252007874961
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p150,0.15,0.15,40,0.6441514468953476,0.00861257274229047,0.6462534510511866,0.611526903732877,0.6578020834678644,0.0013617673189760132,0.641397012504052,0.6469058812866433
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p175,0.175,0.175,40,0.6165610862361657,0.010420713026022349,0.6162840980964799,0.5806924597102328,0.6370924163167277,0.0016476594002608053,0.6132283805279449,0.6198937919443864
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p225,0.225,0.225,40,0.5636034695454946,0.013745198202617279,0.5647116109278886,0.515690118257091,0.5828887155256044,0.002173306660536159,0.5592075418967727,0.5679993971942164
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p300,0.3,0.3,40,0.4829752335063726,0.016964920372841752,0.47936226334605514,0.424853512893085,0.5139032777277595,0.002682389435078644,0.4775495887520365,0.4884008782607087
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p075,0.075,0.075,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p100,0.1,0.1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p125,0.125,0.125,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p150,0.15,0.15,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p175,0.175,0.175,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p225,0.225,0.225,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,mu_0p300,0.3,0.3,40,0.0003748703799903625,0.0020170204040609475,0.0,0.0,0.012763825165824,0.00031891892819328657,-0.00027020404029405386,0.0010199448002747788
