graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,mean_difference_group2_minus_group1,ci95_lower,ci95_upper,p_value_tukey_adjusted,reject_tukey_0p05
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p150,mu_0p175,0.15,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p175,mu_0p225,0.175,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,mu_0p100,0.075,0.1,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,mu_0p125,0.075,0.125,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,mu_0p150,0.075,0.15,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,mu_0p175,0.075,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,mu_0p225,0.075,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p075,mu_0p300,0.075,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p100,mu_0p125,0.1,0.125,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p100,mu_0p150,0.1,0.15,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p100,mu_0p175,0.1,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p100,mu_0p225,0.1,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p100,mu_0p300,0.1,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p125,mu_0p150,0.125,0.15,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p125,mu_0p175,0.125,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p125,mu_0p225,0.125,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p125,mu_0p300,0.125,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p150,mu_0p175,0.15,0.175,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p150,mu_0p225,0.15,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p150,mu_0p300,0.15,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p175,mu_0p225,0.175,0.225,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p175,mu_0p300,0.175,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_marginal_delta,mu_0p225,mu_0p300,0.225,0.3,0.0,0.0,0.0,,False
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p075,mu_0p100,0.075,0.1,-0.026755206025420253,-0.03386378580049758,-0.019646626250342927,0.0,True
lfr,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_raw,mu_0p075,mu_0p125,0.075,0.125,-0.05352721638407043,-0.060635796159147756,-0.046418636608993105,0.0,True
