graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,modularity_regime,mu_t_input,mu_w_input,n,mean_auc,sd_auc,median_auc,min_auc,max_auc,se_auc,ci95_lower_mean,ci95_upper_mean
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.001731037862602463,0.0005762447465160857,0.00173078080808718,0.0006766394967664455,0.00307840493005018,9.111229443486041e-05,0.001546745851945355,0.001915329873259571
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.0019304205095228802,0.0006239338135592858,0.0019912279451263105,0.000721636392714,0.0032132382930694396,9.86525980021096e-05,0.0017308767953059766,0.002129964223739784
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.0022666068607864686,0.0007957604018032424,0.0023616357442416197,0.0006176535709377454,0.00397774223712658,0.00012582076707345034,0.00201211033767494,0.002521103383897997
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.002590594618398191,0.0009702645755964724,0.0024514332976776,0.0008863691491444,0.00449212722657426,0.00015341229959307392,0.0022802889529893212,0.002900900283807061
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.0026605973844909788,0.0008238886863144793,0.00251508121110975,0.00144853450127064,0.00448301086451388,0.00013026823935988755,0.0023971049995685587,0.002924089769413399
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.0027107053502178255,0.0010637071530776058,0.0025561591376712304,0.00067710797808652,0.004997212285525419,0.00016818686835693095,0.0023705152987228435,0.0030508954017128076
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.0025560938942967948,0.001121716267651121,0.002358726773908049,0.0007432092368922599,0.00599434930115004,0.0001773589147120297,0.0021973516279211983,0.0029148361606723913
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.027767283445946304,0.0023396289464133547,0.027825959367625802,0.0224458837286904,0.0321915261170211,0.0003699278175163117,0.027019033808387046,0.028515533083505563
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.036470326314294296,0.0034553153304717806,0.0367091412096046,0.0244024836089268,0.0425115758283066,0.0005463333239194116,0.035365262860689,0.03757538976789959
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.04291018235626777,0.003401473841045056,0.043430178332797095,0.0354948847073259,0.0493042472197386,0.0005378202369591955,0.041822338246358386,0.043998026466177155
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.04807828065681345,0.003736859417464986,0.04835970018287065,0.0389401127560293,0.0571904380147274,0.0005908493527519675,0.04688317503589245,0.049273386277734456
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.04991929936355634,0.004142778792509616,0.050069452347472204,0.0337191184783425,0.0556381450300892,0.0006550308413286245,0.04859437442845689,0.051244224298655786
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.04951442870660607,0.0044684948492125275,0.04894156807221195,0.0420460646022279,0.060432578304207,0.0007065310718121123,0.04808533472292787,0.05094352269028427
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.03673092710854613,0.0038382983980749202,0.0365775030141923,0.0285930913042816,0.0462681943656626,0.0006068882638646198,0.035503379727750285,0.03795847448934197
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.02617955988640459,0.009613641293804131,0.02494036947628285,0.0099293721538532,0.0477509146097141,0.0015200501548134518,0.02310496824026295,0.029254151532546232
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.03516452849322271,0.014405513159311335,0.0308337323576134,0.0114004227327837,0.076457754855926,0.0022777116223475923,0.03055742187623804,0.039771635110207385
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.04038275340054644,0.016518974774506038,0.0362269842410351,0.0110609572613511,0.0984098316347833,0.0026118792449152718,0.035099728967623846,0.04566577783346903
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.035103365799954475,0.013064060510207854,0.0338513066572282,0.0087116022777929,0.0804582707192941,0.002065609335125911,0.030925276553452126,0.039281455046456824
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.034387729557402234,0.02073654388805487,0.03218999789246725,0.0063856800666488,0.1204798873321736,0.0032787354743148527,0.02775586108430316,0.04101959803050131
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.02576356054478754,0.015562241317092872,0.024280486684457,0.0049746023334088,0.0819583505564621,0.002460606402959606,0.02078651431573683,0.030740606773838247
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.02692218033710636,0.026957975835915367,0.01934797210533545,0.0058114701592429,0.152932865432168,0.004262430237463708,0.018300601398498387,0.035543759275714334
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.008970485805338262,0.001983671260713874,0.00871043104493552,0.0054282677288809,0.014624426791421641,0.0003136459656436764,0.008336076958524636,0.009604894652151887
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.010224954160759194,0.0022010443937597888,0.01010505461765601,0.006451248642937659,0.01544827743618602,0.00034801567577127164,0.009521026013346185,0.010928882308172202
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.011164616232274296,0.0027240113622470914,0.01086842058332234,0.00763540173156204,0.021387640292539638,0.00043070401384394055,0.01029343513424877,0.012035797330299821
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.01150758807345234,0.0025920276889284627,0.01108477527901816,0.007613549825309519,0.0178423624633713,0.0004098355627618175,0.010678617401945856,0.012336558744958825
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.012373923130167542,0.0030237300171797243,0.01198772522458422,0.00654882466689644,0.01927822796600798,0.00047809369418539956,0.011406887356011903,0.01334095890432318
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.012184260658837726,0.002570000751203926,0.01238574329272607,0.00723047036713116,0.019607718616291757,0.0004063527981074064,0.011362334543774345,0.013006186773901108
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.012950169166056943,0.0038358606342839413,0.01257892078383602,0.007921780515809839,0.02194675432643178,0.0006065028195657708,0.011723401419944565,0.014176936912169322
