graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,n_group1,n_group2,mean_group1,mean_group2,mean_difference_group2_minus_group1,q_statistic,degrees_of_freedom,ci95_lower,ci95_upper,p_value_games_howell_adjusted,reject_games_howell_0p05
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,40,40,0.001731037862602463,0.0019304205095228802,0.0001993826469204173,2.0997080231717784,77.51201705062485,-0.00020713045365671487,0.0006058957474975495,0.7529305221555119,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.001731037862602463,0.0022666068607864686,0.0005355689981840057,4.875632115412244,71.08049617932853,6.419196288952279e-05,0.0010069460334784885,0.01585458230615977,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.001731037862602463,0.002590594618398191,0.0008595567557957281,6.812789357968917,63.468209536822336,0.00031626384619527336,0.0014028496653961829,0.00018397695460581343,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.001731037862602463,0.0026605973844909788,0.0009295595218885159,8.269489804503626,69.78880953380418,0.00044692994275690855,0.0014121891010201231,2.9957158906857018e-06,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,40,40,0.001731037862602463,0.002710705350217826,0.000979667487615363,7.243070933019207,60.0757854774172,0.00039617969788554815,0.001563155277345178,6.683492537340463e-05,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,40,40,0.001731037862602463,0.0025560938942967948,0.0008250560316943318,5.851782438396458,58.244315782350235,0.0002161690311609652,0.0014339430322276984,0.002091601848321245,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,40,40,0.0019304205095228802,0.0022666068607864686,0.00033618635126358835,2.9736336466439153,73.7997529875635,-0.00014844961914845819,0.0008208223216756348,0.36204087189546674,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,40,40,0.0019304205095228802,0.002590594618398191,0.0006601741088753108,5.118730933311488,66.5444940247142,0.00010563414693228596,0.0012147140708183356,0.009763626772919198,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,40,40,0.0019304205095228802,0.0026605973844909788,0.0007301768749680985,6.31931439402126,72.66187423734729,0.00023464704895766327,0.001225706700978534,0.0005461100321501045,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,40,40,0.0019304205095228802,0.002710705350217826,0.0007802848406949457,5.65935479437191,62.99603165370401,0.00018643625838018845,0.001374133423009703,0.003044092765464357,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,40,40,0.0019304205095228802,0.0025560938942967948,0.0006256733847739145,4.359880510716802,61.02441257385291,6.918354879959258e-06,0.0012444284146678698,0.045796185313283444,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,40,40,0.0022666068607864686,0.002590594618398191,0.00032398775761172246,2.309307976044194,75.12254422629464,-0.00027712735837396153,0.0009251028735974065,0.6617304785697589,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,40,40,0.0022666068607864686,0.0026605973844909788,0.0003939905237045102,3.076517239362757,77.90606791287856,-0.0001541785254340817,0.0009421595728431021,0.3207025489869392,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,40,40,0.0022666068607864686,0.002710705350217826,0.0004440984894313574,2.9901152001219273,72.24142496249138,-0.00019295262305984236,0.0010811496019225572,0.35558416582200236,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,40,40,0.0022666068607864686,0.0025560938942967948,0.0002894870335103262,1.8826648002147193,70.32173766702843,-0.0003705601835828638,0.0009495342506035162,0.8349356034485073,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p175,0.15,0.175,40,40,0.002590594618398191,0.0026605973844909788,7.000276609278773e-05,0.49189803540416205,76.00313255124658,-0.0005395536453050105,0.000679559177490586,0.999849833552413,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,40,40,0.002590594618398191,0.002710705350217826,0.00012011073181963493,0.7461722106218198,77.34973952759597,-0.0005690379029149222,0.000809259366554192,0.9983581814085818,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,40,40,0.002590594618398191,0.0025560938942967948,-3.450072410139627e-05,0.2080632378834551,76.41463664784897,-0.0007446402050264101,0.0006756387568236176,0.9999990794455338,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p225,0.175,0.225,40,40,0.0026605973844909788,0.002710705350217826,5.0107965726847205e-05,0.3331046005597435,73.40958949228354,-0.000594822954732022,0.0006950388861857164,0.9999848121456544,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,40,40,0.0026605973844909788,0.0025560938942967948,-0.000104503490194184,0.6715935237018117,71.59330010611235,-0.0007721070105089769,0.0005631000301206089,0.9990907283362028,False
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,40,40,0.002710705350217826,0.0025560938942967948,-0.0001546114559210312,0.8945675237303468,77.78110108789406,-0.0008944466085167169,0.0005852236966746544,0.9955092439872236,False
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,40,40,0.027767283445946304,0.036470326314294296,0.008703042868347992,18.65427920502483,68.54984948182609,0.006698855215719322,0.010707230520976663,8.881784197001252e-16,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.027767283445946304,0.04291018235626777,0.015142898910321466,32.807238972172826,69.15317208717484,0.013160587403280593,0.017125210417362337,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.027767283445946304,0.04807828065681345,0.020310997210867147,41.20506970750708,65.50313263236649,0.018190539012161305,0.02243145540957299,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.027767283445946304,0.04991929936355634,0.022152015917610034,41.64413097057165,61.58044533933577,0.019859177293900167,0.0244448545413199,6.439293542825908e-15,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,40,40,0.027767283445946304,0.04951442870660607,0.021747145260659767,38.56359519950479,58.88822476676519,0.019312704770029276,0.024181585751290258,2.1538326677728037e-14,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,40,40,0.027767283445946304,0.03673092710854613,0.008963643662599823,17.835493201967886,64.4653808143947,0.006800590748700489,0.011126696576499156,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,40,40,0.036470326314294296,0.04291018235626777,0.006439856041973474,11.879604048330656,77.98076968081293,0.004119517520925488,0.00876019456302146,3.306810381076275e-11,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,40,40,0.036470326314294296,0.04807828065681345,0.011607954342519156,20.399660969667398,77.52624794245331,0.009171957434267101,0.01404395125077121,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,40,40,0.036470326314294296,0.04991929936355634,0.013448973049262042,22.298417391907456,75.56559744442377,0.010865186691326387,0.016032759407197696,1.1213252548714081e-14,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,40,40,0.036470326314294296,0.04951442870660607,0.013044102392311775,20.65468551382036,73.35577937865804,0.010336458442326911,0.01575174634229664,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,40,40,0.036470326314294296,0.03673092710854613,0.0002606007942518307,0.4513308969564027,77.1537492868471,-0.002211578829645909,0.0027327804181495703,0.9999093139665652,False
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,40,40,0.04291018235626777,0.04807828065681345,0.0051680983005456815,9.14776752928748,77.32027501620045,0.0027493527490896753,0.007586843852001687,1.692673539110956e-07,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,40,40,0.04291018235626777,0.04991929936355634,0.007009117007288568,11.695546893577017,75.15278506996647,0.004441389592230886,0.00957684442234625,7.540834623398496e-11,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,40,40,0.04291018235626777,0.04951442870660607,0.006604246350338301,10.518524664680875,72.8360212261667,0.003911776385234694,0.009296716315441909,3.3642830743474406e-09,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,40,40,0.04291018235626777,0.03673092710854613,-0.006179255247721643,10.77660904601239,76.88845000607833,-0.008634490532410255,-0.0037240199630330316,1.1495019380802773e-09,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p175,0.15,0.175,40,40,0.04807828065681345,0.04991929936355634,0.0018410187067428863,2.9514566902573005,77.18499944924856,-0.0008296282113669576,0.00451166562485273,0.37068616538469423,False
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,40,40,0.04807828065681345,0.04951442870660607,0.0014361480497926196,2.2051709568857776,75.63252732354296,-0.0013537482173899278,0.004226044316975167,0.7081326487844626,False
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,40,40,0.04807828065681345,0.03673092710854613,-0.011347353548267325,18.94628026947793,77.94411259431509,-0.013910970571104866,-0.008783736525429783,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p225,0.175,0.225,40,40,0.04991929936355634,0.04951442870660607,-0.00040487065695026664,0.5942900466972323,77.55742675948441,-0.0033213387352256044,0.002511597421325071,0.9995510433768809,False
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,40,40,0.04991929936355634,0.03673092710854613,-0.013188372255010211,20.886893926393487,77.54983342910162,-0.01589144566086115,-0.010485298849159271,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,40,40,0.04951442870660607,0.03673092710854613,-0.012783501598059945,19.410208757042025,76.26427317593885,-0.01560417863013877,-0.009962824565981118,0.0,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,40,40,0.02617955988640459,0.03516452849322272,0.00898496860681813,4.640274862707204,67.98868634437585,0.0006649239375986545,0.017305013276037604,0.02598080123025559,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.02617955988640459,0.040382753400546444,0.014203193514141853,6.646713786273659,62.69957177776083,0.004997950487634685,0.023408436540649023,0.0002848107477213535,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.02617955988640459,0.03510336579995447,0.008923805913549878,4.920865256705974,71.66114246848319,0.001143597912838976,0.016704013914260782,0.014376159100204955,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.02617955988640459,0.034387729557402234,0.008208169670997644,3.212023997303945,55.02450214554845,-0.002850498023192264,0.019266837365187552,0.276341691419451,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,40,40,0.02617955988640459,0.025763560544787532,-0.0004159993416170578,0.2034094517058042,64.98245641611236,-0.00921593349244382,0.008383934809209704,0.9999991852191746,False
