graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,n_group1,n_group2,mean_group1,mean_group2,mean_difference_group2_minus_group1,q_statistic,degrees_of_freedom,ci95_lower,ci95_upper,p_value_games_howell_adjusted,reject_games_howell_0p05
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.001731037862602463,0.0022666068607864686,0.0005355689981840057,4.875632115412244,71.08049617932853,6.419196288952279e-05,0.0010069460334784885,0.01585458230615977,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.001731037862602463,0.002590594618398191,0.0008595567557957281,6.812789357968917,63.468209536822336,0.00031626384619527336,0.0014028496653961829,0.00018397695460581343,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.001731037862602463,0.0026605973844909788,0.0009295595218885159,8.269489804503626,69.78880953380418,0.00044692994275690855,0.0014121891010201231,2.9957158906857018e-06,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,40,40,0.001731037862602463,0.002710705350217826,0.000979667487615363,7.243070933019207,60.0757854774172,0.00039617969788554815,0.001563155277345178,6.683492537340463e-05,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,40,40,0.001731037862602463,0.0025560938942967948,0.0008250560316943318,5.851782438396458,58.244315782350235,0.0002161690311609652,0.0014339430322276984,0.002091601848321245,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,40,40,0.0019304205095228802,0.002590594618398191,0.0006601741088753108,5.118730933311488,66.5444940247142,0.00010563414693228596,0.0012147140708183356,0.009763626772919198,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,40,40,0.0019304205095228802,0.0026605973844909788,0.0007301768749680985,6.31931439402126,72.66187423734729,0.00023464704895766327,0.001225706700978534,0.0005461100321501045,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,40,40,0.0019304205095228802,0.002710705350217826,0.0007802848406949457,5.65935479437191,62.99603165370401,0.00018643625838018845,0.001374133423009703,0.003044092765464357,True
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,40,40,0.0019304205095228802,0.0025560938942967948,0.0006256733847739145,4.359880510716802,61.02441257385291,6.918354879959258e-06,0.0012444284146678698,0.045796185313283444,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,40,40,0.027767283445946304,0.036470326314294296,0.008703042868347992,18.65427920502483,68.54984948182609,0.006698855215719322,0.010707230520976663,8.881784197001252e-16,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.027767283445946304,0.04291018235626777,0.015142898910321466,32.807238972172826,69.15317208717484,0.013160587403280593,0.017125210417362337,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.027767283445946304,0.04807828065681345,0.020310997210867147,41.20506970750708,65.50313263236649,0.018190539012161305,0.02243145540957299,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.027767283445946304,0.04991929936355634,0.022152015917610034,41.64413097057165,61.58044533933577,0.019859177293900167,0.0244448545413199,6.439293542825908e-15,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,40,40,0.027767283445946304,0.04951442870660607,0.021747145260659767,38.56359519950479,58.88822476676519,0.019312704770029276,0.024181585751290258,2.1538326677728037e-14,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,40,40,0.027767283445946304,0.03673092710854613,0.008963643662599823,17.835493201967886,64.4653808143947,0.006800590748700489,0.011126696576499156,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,40,40,0.036470326314294296,0.04291018235626777,0.006439856041973474,11.879604048330656,77.98076968081293,0.004119517520925488,0.00876019456302146,3.306810381076275e-11,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,40,40,0.036470326314294296,0.04807828065681345,0.011607954342519156,20.399660969667398,77.52624794245331,0.009171957434267101,0.01404395125077121,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,40,40,0.036470326314294296,0.04991929936355634,0.013448973049262042,22.298417391907456,75.56559744442377,0.010865186691326387,0.016032759407197696,1.1213252548714081e-14,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,40,40,0.036470326314294296,0.04951442870660607,0.013044102392311775,20.65468551382036,73.35577937865804,0.010336458442326911,0.01575174634229664,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,40,40,0.04291018235626777,0.04807828065681345,0.0051680983005456815,9.14776752928748,77.32027501620045,0.0027493527490896753,0.007586843852001687,1.692673539110956e-07,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,40,40,0.04291018235626777,0.04991929936355634,0.007009117007288568,11.695546893577017,75.15278506996647,0.004441389592230886,0.00957684442234625,7.540834623398496e-11,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,40,40,0.04291018235626777,0.04951442870660607,0.006604246350338301,10.518524664680875,72.8360212261667,0.003911776385234694,0.009296716315441909,3.3642830743474406e-09,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,40,40,0.04291018235626777,0.03673092710854613,-0.006179255247721643,10.77660904601239,76.88845000607833,-0.008634490532410255,-0.0037240199630330316,1.1495019380802773e-09,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,40,40,0.04807828065681345,0.03673092710854613,-0.011347353548267325,18.94628026947793,77.94411259431509,-0.013910970571104866,-0.008783736525429783,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,40,40,0.04991929936355634,0.03673092710854613,-0.013188372255010211,20.886893926393487,77.54983342910162,-0.01589144566086115,-0.010485298849159271,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,40,40,0.04951442870660607,0.03673092710854613,-0.012783501598059945,19.410208757042025,76.26427317593885,-0.01560417863013877,-0.009962824565981118,0.0,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,40,40,0.02617955988640459,0.03516452849322272,0.00898496860681813,4.640274862707204,67.98868634437585,0.0006649239375986545,0.017305013276037604,0.02598080123025559,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.02617955988640459,0.040382753400546444,0.014203193514141853,6.646713786273659,62.69957177776083,0.004997950487634685,0.023408436540649023,0.0002848107477213535,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.02617955988640459,0.03510336579995447,0.008923805913549878,4.920865256705974,71.66114246848319,0.001143597912838976,0.016704013914260782,0.014376159100204955,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,40,40,0.040382753400546444,0.025763560544787532,-0.014619192855758911,5.761552540636212,77.72399101960167,-0.025480914950853736,-0.0037574707606640844,0.002051525998478243,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,40,40,0.008970485805338262,0.011164616232274294,0.0021941304269360324,5.8238507816933796,71.284431074666,0.0005775387638229307,0.003810722090049134,0.001883064900135789,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,40,40,0.008970485805338262,0.01150758807345234,0.002537102268114079,6.952413674162194,73.01512283435905,0.0009723166053451,0.004101887930883058,0.00010439460097466657,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.008970485805338262,0.012373923130167542,0.0034034373248292803,8.417707479038977,67.32344402855766,0.001665612610713405,0.005141262038945155,2.168592878715181e-06,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,40,40,0.008970485805338262,0.012184260658837728,0.0032137748534994664,8.854073292880514,73.29650262603357,0.001657529456616264,0.004770020250382669,4.820691203999417e-07,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,40,40,0.008970485805338262,0.01295016916605694,0.003979683360718678,8.242677681781796,58.46740583749526,0.0018948883802575671,0.006064478341179789,5.172073331838334e-06,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,40,40,0.010224954160759192,0.012373923130167542,0.00214896896940835,5.139305951936877,71.26983097200878,0.0003547462129950261,0.003943191725821674,0.009028102569017538,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,40,40,0.010224954160759192,0.012184260658837728,0.001959306498078536,5.1790977293201514,76.19883979768416,0.0003390192240952923,0.00357959377206178,0.008010882735429936,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,40,40,0.010224954160759192,0.01295016916605694,0.002725215005297748,5.511614641907045,62.17003349106993,0.0005946294098750802,0.004855800600720416,0.0042935969891286785,True
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,40,40,0.0021106400159147665,0.003788821533991421,0.0016781815180766544,4.691504322585348,75.61404320520191,0.00014582156530090241,0.0032105414708524065,0.022650050255104914,True
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,40,40,0.020611367294269777,0.014534545547390126,-0.0060768217468796515,5.188445281520122,70.49413353656435,-0.01110403404316722,-0.0010496094505920827,0.0081530211670916,True
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,40,40,0.02034031698968035,0.014534545547390126,-0.005805771442290223,4.6665503482750035,67.10455019689829,-0.011153743227870473,-0.00045779965670997205,0.02477233788119404,True
