modularity_regime,network,n_graphs,mean_edges,mean_mu_t_hat,sd_mu_t_hat,mean_mu_w_hat,sd_mu_w_hat,mean_directed_modularity_unweighted,sd_directed_modularity_unweighted,mean_directed_modularity_weighted,sd_directed_modularity_weighted
mu_0p075,lfr,40,1474.0,0.07393745410065172,0.006328376523349675,0.07335412023898097,0.0025316140162994676,0.6896487216830012,0.03928401881396448,0.6904689276632284,0.039734184444467635
mu_0p075,null,40,1474.0,0.7714052362360443,0.04120895856852115,0.7709906810928884,0.041304348390544185,-0.007819060452391292,0.010933496421335261,-0.007269443918196945,0.011043261086438648
mu_0p100,lfr,40,1485.275,0.0996762066029688,0.003840227963858745,0.10347086676781114,0.004294671564680911,0.6660358683727493,0.03733508586128052,0.6625191280665359,0.03752365375671903
mu_0p100,null,40,1485.275,0.7710688885259254,0.04000895941777904,0.7709084934666934,0.040178889446629826,-0.005356813550207225,0.011095740562995697,-0.005220986145954116,0.011747526066784435
mu_0p125,lfr,40,1471.1,0.12532333406688104,0.003697521011686305,0.12973035591073917,0.003590034239506795,0.6404324906879134,0.034415837762897195,0.6364088742234946,0.03493050309667195
mu_0p125,null,40,1471.1,0.772090734582431,0.03535776197088978,0.7713331121847904,0.03637111626845547,-0.006334909827636508,0.012087919142733052,-0.0056924476210203955,0.0135308321062965
mu_0p150,lfr,40,1483.975,0.14996274892854117,0.002964400430097305,0.15316055241841423,0.0031824147399114513,0.6228721724207543,0.03889480091766742,0.6199086901179617,0.03902802938584704
mu_0p150,null,40,1483.975,0.781229684318567,0.040018672815742784,0.780422858329765,0.04025584715577287,-0.00839476296927143,0.011007798157092076,-0.007670228685917564,0.012248837748596897
mu_0p175,lfr,40,1475.2,0.17473035048658517,0.0024287845829302594,0.17659384382383858,0.0026722312614633225,0.5902971454765,0.040705076519030645,0.5888645397934701,0.04077487916977664
mu_0p175,null,40,1475.2,0.7666442897460313,0.040092351436332926,0.7670786217954795,0.03995586604898995,-0.0016167937829460182,0.010082843631800866,-0.002108627240281054,0.009305617353204256
mu_0p225,lfr,40,1470.925,0.2255156451551648,0.0034754781152701846,0.22516027048679826,0.00033036342456084505,0.5404674938817313,0.04077214521437871,0.5411565770983382,0.04023092429663818
mu_0p225,null,40,1470.925,0.7712080202089503,0.04102262655901685,0.7714705060185223,0.0415810611096639,-0.005224881172054016,0.009484589450678883,-0.005529056845122421,0.009156927845384974
mu_0p300,lfr,40,1470.55,0.30013013418383183,0.00267187221388035,0.3000222325702654,9.629071370179683e-06,0.4596316757743641,0.03893474030215766,0.46025334677325375,0.038380398995209584
mu_0p300,null,40,1470.55,0.7649052233522673,0.04001534042215548,0.7650578725958228,0.04085361220204797,-0.005143413394071303,0.011262713442514137,-0.0052526673777192195,0.01183891162090631
