network,nodes,edges,density,n_communities,community_size_min,community_size_mean,community_size_max,total_weight,weight_min,weight_mean,weight_median,weight_max,mean_in_degree,mean_out_degree,max_in_degree,max_out_degree,mean_in_strength,mean_out_strength,cross_edge_fraction_mu_t_hat,within_edge_fraction,cross_weight_fraction_mu_w_hat,within_weight_fraction,directed_modularity_unweighted,directed_modularity_weighted,run_id,replicate_id,modularity_regime,mu_t_input,mu_w_input
lfr,150,1472,0.0658612975391498,5,22,30.0,45,6629.624296,0.00201533,4.503820853260869,4.495435,14.0106,9.813333333333333,9.813333333333333,25.0,10.0,44.19749530666667,44.19749530666667,0.0808423913043478,0.9191576086956522,0.0755446981063736,0.9244553018936263,0.7026865622046314,0.7079069038540419,0,0,mu_0p075,0.075,0.075
null,150,1472,0.0658612975391498,5,22,30.0,45,6629.624296,0.00201533,4.503820853260869,4.495435,14.0106,9.813333333333333,9.813333333333333,25.0,10.0,44.19749530666667,44.19749530666667,0.782608695652174,0.217391304347826,0.7814994484869967,0.2185005515130033,0.0009202578568052,0.0023164410467267,0,0,mu_0p075,0.075,0.075
lfr,150,1522,0.0680984340044742,4,28,37.5,45,7006.80137658,0.00912878,4.60368027370565,4.521405,13.0116,10.146666666666668,10.146666666666668,25.0,11.0,46.7120091772,46.7120091772,0.0729303547963206,0.9270696452036794,0.0755751873244146,0.9244248126755854,0.6693730671137811,0.6670965802846641,1,1,mu_0p075,0.075,0.075
null,150,1522,0.0680984340044742,4,28,37.5,45,7006.801376580001,0.00912878,4.603680273705651,4.521405,13.0116,10.146666666666668,10.146666666666668,25.0,11.0,46.7120091772,46.7120091772,0.7417871222076216,0.2582128777923784,0.7363786291339713,0.2636213708660286,0.0005162997024801,0.0051099277218936,1,1,mu_0p075,0.075,0.075
lfr,150,1443,0.0645637583892617,4,27,37.5,51,6395.784769,0.286966,4.432283277200277,4.33189,12.9936,9.62,9.62,23.0,13.0,42.63856512666666,42.63856512666666,0.0582120582120582,0.9417879417879418,0.0700707161335684,0.9299292838664316,0.67664145834624,0.6646384370028326,2,2,mu_0p075,0.075,0.075
null,150,1443,0.0645637583892617,4,27,37.5,51,6395.784769,0.286966,4.432283277200277,4.33189,12.9936,9.62,9.62,23.0,13.0,42.63856512666667,42.63856512666666,0.7477477477477478,0.2522522522522522,0.7471354236560918,0.2528645763439082,-0.0128942311894494,-0.0125736531327712,2,2,mu_0p075,0.075,0.075
lfr,150,1428,0.0638926174496644,5,22,30.0,39,6294.83378662,0.00796042,4.408146909397759,4.24953,11.0203,9.52,9.52,23.0,10.0,41.965558577466666,41.965558577466666,0.0763305322128851,0.9236694677871148,0.0689817080703505,0.9310182919296496,0.7111521079019842,0.7186285079451578,3,3,mu_0p075,0.075,0.075
null,150,1428,0.0638926174496644,5,22,30.0,39,6294.83378662,0.00796042,4.408146909397759,4.24953,11.0203,9.52,9.52,23.0,10.0,41.96555857746666,41.96555857746667,0.7815126050420168,0.2184873949579832,0.7854770541693548,0.2145229458306452,0.0059700350728526,0.0015407665495967,3,3,mu_0p075,0.075,0.075
lfr,150,1472,0.0658612975391498,4,26,37.5,48,6591.08421627,0.00792527,4.477638733879076,4.36861,12.7226,9.813333333333333,9.813333333333333,24.0,12.0,43.94056144180001,43.9405614418,0.0706521739130434,0.9293478260869564,0.0667693374609996,0.9332306625390004,0.6675967701441399,0.6724225596455301,4,4,mu_0p075,0.075,0.075
null,150,1472,0.0658612975391498,4,26,37.5,48,6591.08421627,0.00792527,4.477638733879076,4.36861,12.7226,9.813333333333333,9.813333333333333,24.0,12.0,43.94056144179999,43.94056144180001,0.7493206521739131,0.2506793478260869,0.7498405219994125,0.2501594780005874,-0.0110717081167296,-0.0105229795357911,4,4,mu_0p075,0.075,0.075
