modularity_regime,mu_t_input,mu_w_input,run_id,replicate_id,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_lfr,auc_null,delta_auc_lfr_minus_null
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,0.0,0.0082891278038845,-0.0082891278038845
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,gscc_ratio,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,reachability,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,spectral_gamma,0.2413281440708942,3.782965752529448,-3.541637608458554
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,spectral_kappa,0.2033241054805911,3.23278761220878,-3.029463506728189
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity,0.0142423936196393,0.0025468437844453,0.011695549835194
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity_louvain_dynamic,0.0142423936196391,0.005939603929947,0.0083027896896921
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,weighted_efficiency,0.3119733330702405,0.4222345896294215,-0.11026125655918101
mu_0p075,0.075,0.075,0,0,edge_weakening,edge_weight,edge_weight,edge,yuan_out_in_strength_assortativity,0.036577550896096,0.0089007092095149,0.027676841686581105
mu_0p075,0.075,0.075,0,0,edge_weakening,random_edge,random_edge,edge,community_assortativity,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,random_edge,random_edge,edge,community_assortativity_louvain_dynamic,0.0,0.0110967416435942,-0.0110967416435942
mu_0p075,0.075,0.075,0,0,edge_weakening,random_edge,random_edge,edge,gscc_ratio,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,random_edge,random_edge,edge,reachability,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,random_edge,random_edge,edge,spectral_gamma,0.2632072250419162,3.849194161551945,-3.5859869365100288
mu_0p075,0.075,0.075,0,0,edge_weakening,random_edge,random_edge,edge,spectral_kappa,0.2391524741201546,3.935652477843544,-3.6965000037233895
