modularity_regime,mu_t_input,mu_w_input,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_pairs,mean_auc_lfr,mean_auc_null,mean_delta_auc_lfr_minus_null,sd_delta_auc,se_delta_auc,ci95_lower_delta_auc,ci95_upper_delta_auc,t_statistic,p_value_two_sided,cohen_dz,p_holm_across_mu,significant_holm_0p05,realised_qw
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,community_assortativity,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,community_assortativity_louvain_dynamic,auc_abs_delta,40,0.0,0.007202131757585948,-0.007202131757585948,0.0027504374160008584,0.0004348823398155379,-0.008081764317615177,-0.006322499197556718,-16.561104230263396,3.064352356154094e-19,-2.6185404967540986,1.532176178077047e-18,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,gscc_ratio,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,reachability,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,spectral_gamma,auc_abs_delta,15,0.3813221596457288,3.432552643325274,-3.0512304836795447,0.6547538527685276,0.16905671784251003,-3.413821081611088,-2.6886398857480014,-18.048560995499823,4.304077072711862e-11,-4.66011841057197,4.304077072711862e-11,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,spectral_kappa,auc_abs_delta,15,0.2951182752591905,2.771406595091975,-2.4762883198327845,0.4675569099901444,0.12072267505306862,-2.735212706216327,-2.217363933449242,-20.51220550525599,7.630465461937251e-12,-5.296228687722704,7.630465461937251e-12,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity,auc_abs_delta,40,0.01055690691078505,0.0025079262336941298,0.008048980677090919,0.002910730270095409,0.0004602268653949292,0.007118083975299615,0.008979877378882223,17.489158678696295,4.675254270801363e-20,2.7652787892390616,1.402576281240409e-19,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_delta,40,0.010556906910785032,0.006812444303179563,0.00374446260760547,0.0038370036133638734,0.0006066835404262963,0.0025173293190494453,0.0049715958961614945,6.172019443570797,2.987565274600614e-07,0.9758819602264399,2.987565274600614e-07,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,weighted_efficiency,auc_abs_delta,40,0.30641247599007804,0.4191048949063001,-0.11269241891622213,0.022515925932637643,0.003560080478739295,-0.11989336137516822,-0.10549147645727604,-31.654458259923683,1.981236759207105e-29,-5.005009310004454,1.188742055524263e-28,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,edge_weight,edge_weight,edge,yuan_out_in_strength_assortativity,auc_abs_delta,40,0.04937908706564098,0.014355556137561514,0.035023530928079465,0.016140411528287615,0.0025520231400914047,0.02986157689489288,0.040185484961266046,13.723829685503969,1.63219671024341e-16,2.169928001321241,1.142537697170387e-15,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,community_assortativity,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,community_assortativity_louvain_dynamic,auc_abs_delta,40,0.0,0.011756501155618207,-0.011756501155618207,0.0048267983202943555,0.0007631838249202549,-0.013300186148603331,-0.010212816162633082,-15.40454707205914,3.5790801191814725e-18,-2.4356727535492415,1.6501773651901413e-17,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,gscc_ratio,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,reachability,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,spectral_gamma,auc_abs_delta,15,0.4045411678177266,4.038891777132837,-3.6343506093151112,0.5392755044237028,0.13924033651004034,-3.932991429482919,-3.3357097891473035,-26.101277118452277,2.836487216154009e-13,-6.73932077296736,2.836487216154009e-13,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,spectral_kappa,auc_abs_delta,15,0.33340894569976615,3.2475150939464394,-2.9141061482466735,0.4731605985271602,0.122169541211815,-3.1761337539066927,-2.652078542586654,-23.8529679275316,9.7531255475436e-13,-6.158809836063302,9.7531255475436e-13,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity,auc_abs_delta,40,0.0018865419884816776,0.0026679844408824447,-0.0007814424524007675,0.0016264319594081595,0.00025716147255101535,-0.001301600627912989,-0.00026128427688854614,-3.0387228874097616,0.004226645306889146,-0.4804642751149121,0.029586517148224023,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_delta,40,0.001886541988481685,0.011184163420976874,-0.00929762143249519,0.004830620739031787,0.0007637882023893143,-0.010842528894299255,-0.007752713970691124,-12.173036194340238,7.382186184506302e-15,-1.9247260206891619,2.9528744738025207e-14,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,weighted_efficiency,auc_abs_delta,40,0.23347578606465066,0.3066930077797935,-0.07321722171514282,0.018448634035644878,0.0029169851635770902,-0.07911738111939215,-0.06731706231089349,-25.100306518308358,1.1108161618516855e-25,-3.968706928311264,7.775713132961799e-25,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,random_edge,random_edge,edge,yuan_out_in_strength_assortativity,auc_abs_delta,40,0.017835720820392448,0.01208198743100421,0.00575373338938824,0.014512975227123666,0.002294702867165514,0.0011122587357902348,0.010395208042986246,2.5073980042110744,0.01643617742910803,0.396454434693373,0.09861706457464818,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity_louvain_dynamic,auc_abs_delta,40,0.0,0.010401404501314309,-0.010401404501314309,0.004053351394223657,0.0006408911281382912,-0.011697729166931747,-0.009105079835696871,-16.22959664230193,6.11606837179328e-19,-2.5661245447747567,4.2812478602552956e-18,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,spectral_gamma,spectral_gamma,edge,gscc_ratio,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,spectral_gamma,spectral_gamma,edge,reachability,auc_abs_delta,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_gamma,auc_abs_delta,15,0.9661978953218712,7.836087223907754,-6.869889328585883,1.1729517821510838,0.3028548478783638,-7.519448374686504,-6.2203302824852615,-22.68376873182842,1.9386307412714e-12,-5.856923901839467,1.9386307412714e-12,True,0.6904689276632284
mu_0p075,0.075,0.075,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_kappa,auc_abs_delta,15,0.7699406949357983,5.903312338187782,-5.133371643251983,0.792610437619126,0.20465113499526982,-5.5723046732569275,-4.694438613247038,-25.08352393633503,4.896181403230749e-13,-6.476538031308046,4.896181403230749e-13,True,0.6904689276632284
